"","MOLECULE_NAM","SMILES","STRUCTURE"
"135","FLUDARABINE","Nc1nc(F)nc2n(cnc12)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O","http://data.lincscloud.org/pert_images/BRD-K66788707.png"
"136","TYRPHOSTINAG1478","COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC","http://data.lincscloud.org/pert_images/BRD-K68336408.png"
"137","ERLOTINIB","COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC","http://data.lincscloud.org/pert_images/BRD-K70401845.png"
"138","SUNITINIB","COc1ccc(cc1)S(=O)(=O)N(C(C)=O)c1ccccc1\C=C\c1cc[n+]([O-])cc1","http://data.lincscloud.org/pert_images/BRD-K70511574.png"
"139","MEBENDAZOLE","COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccccc3","http://data.lincscloud.org/pert_images/BRD-K77987382.png"
"140","IMATINIB","CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1","http://data.lincscloud.org/pert_images/BRD-K92723993.png"
"141","HALOPERIDOL","OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3","http://data.lincscloud.org/pert_images/BRD-K67783091.png"
"142","RALOXIFENE","Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4","http://data.lincscloud.org/pert_images/BRD-K63828191.png"
"143","CRIZOTINIB","C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl","http://data.lincscloud.org/pert_images/BRD-K78431006.png"
"144","NILOTINIB","Cc1cn(cn1)c2cc(NC(=O)c3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)cc(c2)C(F)(F)F","http://data.lincscloud.org/pert_images/BRD-K81528515.png"
"145","ALVESPIMYCIN","COC1CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O","http://data.lincscloud.org/pert_images/BRD-A06304526.png"
"146","OFLOXACIN","CC1COc2c(N3CCN(C)CC3)c(F)cc4c(=O)c(cn1c24)C(=O)O","http://data.lincscloud.org/pert_images/BRD-A24228527.png"
"147","ACTINOMYCIND","CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)c4nc23)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O","http://data.lincscloud.org/pert_images/BRD-A42383464.png"
"148","EPIRUBICIN","COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-A56518012.png"
"149","TOPOTECAN","CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)c(CN(C)C)c4cc3Cn1c2=O","http://data.lincscloud.org/pert_images/BRD-A59985574.png"
"150","LANATOSIDEC","C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(=O)C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](C)O3)[C@@H](C)O2)O[C@H]5CC[C@@]6(C)C(CCC7C6C[C@@H](O)[C@]8(C)[C@H](CC[C@]78O)C9=CC(=O)OC9)C5","http://data.lincscloud.org/pert_images/BRD-A64242993.png"
"151","IFOSFAMIDE","ClCCNP1(=O)OCCCN1CCCl","http://data.lincscloud.org/pert_images/BRD-A67097164.png"
"152","TUNICAMYCIN","CC(C)C\C=C/C(=O)NC1C(OC2OC(C)C(O)C(O)C2NC(C)=O)OC(CC(O)C2OC(C(O)C2O)n2ccc(=O)[nH]c2=O)C(O)C1O","http://data.lincscloud.org/pert_images/BRD-A72024019.png"
"153","LASALOCID","CC[C@H](C1OC(CC)(C[C@@H]1C)C2CC[C@](O)(CC)[C@H](C)O2)C(=O)C(C)[C@@H](O)[C@H](C)CCc3ccc(C)c(O)c3C(=O)O","http://data.lincscloud.org/pert_images/BRD-A72711497.png"
"154","FLOXURIDINE","OCC1OC(CC1O)n1cc(F)c(=O)[nH]c1=O","http://data.lincscloud.org/pert_images/BRD-A80638690.png"
"155","COLCHICINE","COc1cc2CC[C@H](NC(=O)C)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC","http://data.lincscloud.org/pert_images/BRD-K00259736.png"
"156","ISOFLUPREDONE","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C","http://data.lincscloud.org/pert_images/BRD-K01014769.png"
"157","OLIGOMYCINC","CC[C@H]1CC[C@H]2O[C@@]3(CC[C@@H](C)[C@@H](C[C@H](C)O)O3)[C@H](C)[C@@H](OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C","http://data.lincscloud.org/pert_images/BRD-K05350981.png"
"158","CURCUMIN","COc1cc(/C=C/C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O","http://data.lincscloud.org/pert_images/BRD-K07572174.png"
"159","MEVASTATIN","CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CCO3)[C@@H]12","http://data.lincscloud.org/pert_images/BRD-K08229828.png"
"160","CARMOFUR","CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O","http://data.lincscloud.org/pert_images/BRD-K11630072.png"
"161","PYROXAMIDE","ONC(=O)CCCCCCC(=O)Nc1cccnc1","http://data.lincscloud.org/pert_images/BRD-K11663430.png"
"162","NOCODAZOLE","COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3","http://data.lincscloud.org/pert_images/BRD-K12539581.png"
"163","HALOPROGIN","Clc1cc(Cl)c(OCC#CI)cc1Cl","http://data.lincscloud.org/pert_images/BRD-K13238168.png"
"164","MIDOSTAURIN","CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9","http://data.lincscloud.org/pert_images/BRD-K13646352.png"
"165","OBATOCLAX","COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1","http://data.lincscloud.org/pert_images/BRD-K15600710.png"
"166","STAUROSPORINE","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35","http://data.lincscloud.org/pert_images/BRD-K17953061.png"
"167","NIFUROXAZIDE","Oc1ccc(cc1)C(=O)NN=Cc2ccc(o2)[N+](=O)[O-]","http://data.lincscloud.org/pert_images/BRD-K26104851.png"
"168","AMPHOTERICINB","C[C@H]1O[C@@H](O[C@@H]2C[C@H]3O[C@@](O)(C[C@H](O)[C@H]3C(O)=O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)C=CC=CC=CC=CC=CC=CC=C2)[C@@H](O)[C@@H](N)[C@@H]1O","http://data.lincscloud.org/pert_images/BRD-K30600766.png"
"169","DOCETAXEL","CC(=O)O[C@@]12CO[C@H]1C[C@H](O)[C@]1(C)[C@H]2[C@H](OC(=O)c2ccccc2)[C@@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C","http://data.lincscloud.org/pert_images/BRD-K30618791.png"
"170","DACARBAZINE","CN(C)/N=N/c1[nH]cnc1C(=O)N","http://data.lincscloud.org/pert_images/BRD-K35520305.png"
"171","NBROMOACETYLTRYPTAMINE","BrCC(=O)NCCc1c[nH]c2ccccc12","http://data.lincscloud.org/pert_images/BRD-K35553576.png"
"172","PLUMBAGIN","CC1=CC(=O)c2c(O)cccc2C1=O","http://data.lincscloud.org/pert_images/BRD-K36137799.png"
"173","MALONOBEN","CC(C)(C)c1cc(C=C(C#N)[N+]#[C-])cc(c1O)C(C)(C)C","http://data.lincscloud.org/pert_images/BRD-K38477985.png"
"174","ABIRATERONE","C[C@]12CC[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]34C)[C@@H]1CC=C2c1cccnc1","http://data.lincscloud.org/pert_images/BRD-K55301415.png"
"175","NELFINAVIR","Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@@H]2CCCC[C@@H]2C[C@H]1C(=O)NC(C)(C)C","http://data.lincscloud.org/pert_images/BRD-K60460488.png"
"176","PAZOPANIB","CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1","http://data.lincscloud.org/pert_images/BRD-K74514084.png"
"177","IDOXURIDINE","OC[C@H]1O[C@H](C[C@@H]1O)n2cc(I)c(=O)[nH]c2=O","http://data.lincscloud.org/pert_images/BRD-K76634210.png"
"178","ISOTRETINOIN","C/C(=C\C=C\C(=C/C(=O)O)\C)/C=C/C1=C(C)CCCC1(C)C","http://data.lincscloud.org/pert_images/BRD-K76723084.png"
"179","ENTINOSTAT","Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2","http://data.lincscloud.org/pert_images/BRD-K77908580.png"
"180","LEFLUNOMIDE","Cc1oncc1C(=O)Nc2ccc(cc2)C(F)(F)F","http://data.lincscloud.org/pert_images/BRD-K78692225.png"
"181","FLUMETHASONE","C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-K81774264.png"
"182","ELLIPTICINE","Cc1c2[nH]c3ccccc3c2c(C)c4cnccc14","http://data.lincscloud.org/pert_images/BRD-K85985071.png"
"183","TERCONAZOLE","CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2","http://data.lincscloud.org/pert_images/BRD-K86204871.png"
"184","ALLOPURINOL","O=c1[nH]cnc2[nH]ncc12","http://data.lincscloud.org/pert_images/BRD-K86307448.png"
"185","RALTITREXED","CN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(s1)C(=O)N[C@@H](CCC(O)=O)C(O)=O","http://data.lincscloud.org/pert_images/BRD-K89839824.png"
"186","PROSTRATIN","C[C@@H]1C[C@]2(OC(=O)C)[C@H]([C@@H]3C=C(CO)C[C@@]4(O)[C@@H](C=C(C)C4=O)[C@@]13O)C2(C)C","http://data.lincscloud.org/pert_images/BRD-K91145395.png"
"187","OSI027","COc1cccc2cc([nH]c12)-c1nc([C@@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12","http://data.lincscloud.org/pert_images/BRD-K94294671.png"
"188","KINETINRIBOSIDE","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4ccco4)ncnc23","http://data.lincscloud.org/pert_images/BRD-K94325918.png"
"189","CAFFEICACIDPHENETHYLESTER","Oc1ccc(/C=C/C(=O)OCCc2ccccc2)cc1O","http://data.lincscloud.org/pert_images/BRD-K96188950.png"
"190","HONOKIOL","Oc1ccc(cc1CC=C)c2cc(CC=C)ccc2O","http://data.lincscloud.org/pert_images/BRD-K98493452.png"
"191","HEXACHLOROPHENE","Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl","http://data.lincscloud.org/pert_images/BRD-K99792991.png"
"192","BOSUTINIB","COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl","http://data.lincscloud.org/pert_images/BRD-K99964838.png"
"193","FENBENDAZOLE","COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1","http://data.lincscloud.org/pert_images/BRD-K51318897.png"
"194","BENZO(A)PYRENE","c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45","http://data.lincscloud.org/pert_images/BRD-K09668667.png"
"195","GOSSYPOL","CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)c3c(C)cc4c(C(C)C)c(O)c(O)c(C=O)c4c3O","http://data.lincscloud.org/pert_images/BRD-K19295594.png"
"196","MONASTROL","CCOC(=O)C1=C(C)NC(=S)NC1c2cccc(O)c2","http://data.lincscloud.org/pert_images/BRD-A78377521.png"
"197","PHENYLBUTYRATE","OC(=O)CCCc1ccccc1","http://data.lincscloud.org/pert_images/BRD-K67102207.png"
"198","THIORPHAN","OC(=O)CNC(=O)C(CS)Cc1ccccc1","http://data.lincscloud.org/pert_images/BRD-A56012032.png"
"199","FLUOCINOLONE","CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-K94353609.png"
"200","BISACODYL","CC(=O)Oc1ccc(cc1)C(c2ccc(OC(=O)C)cc2)c3ccccn3","http://data.lincscloud.org/pert_images/BRD-K39987650.png"
"201","DIHYDROERGOCRISTINE","CC(C)C1(NC(=O)C2CC3C(Cc4c[nH]c5cccc3c45)N(C)C2)OC6(O)C7CCCN7C(=O)C(Cc8ccccc8)N6C1=O","http://data.lincscloud.org/pert_images/BRD-A44701612.png"
"202","MITOTANE","ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl","http://data.lincscloud.org/pert_images/BRD-A31204924.png"
"203","OXIBENDAZOLE","CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1","http://data.lincscloud.org/pert_images/BRD-K52075715.png"
"204","PENTAMIDINE","NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1","http://data.lincscloud.org/pert_images/BRD-K13183738.png"
"205","PROBUCOL","CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C","http://data.lincscloud.org/pert_images/BRD-K72029282.png"
"206","SULOCTIDIL","CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1","http://data.lincscloud.org/pert_images/BRD-A34205397.png"
"207","6AMINOCHRYSENE","Nc1cc2c3ccccc3ccc2c4ccccc14","http://data.lincscloud.org/pert_images/BRD-K00656370.png"
"208","FLUBENDAZOLE","COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccc(F)cc3","http://data.lincscloud.org/pert_images/BRD-K86003836.png"
"209","OXFENDAZOLE","COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)c3ccccc3","http://data.lincscloud.org/pert_images/BRD-A33447119.png"
"210","ROSCOVITINE","CC[C@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1","http://data.lincscloud.org/pert_images/BRD-K07691486.png"
"211","TRYPTOPHAN","NC(Cc1c[nH]c2ccccc12)C(=O)O","http://data.lincscloud.org/pert_images/BRD-A07106394.png"
"212","ROTENONE","COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)C","http://data.lincscloud.org/pert_images/BRD-K08316444.png"
"213","NICLOSAMIDE","Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-]","http://data.lincscloud.org/pert_images/BRD-K35960502.png"
"214","STAT3INHIBITORVI","Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2","http://data.lincscloud.org/pert_images/BRD-K40853697.png"
"215","PROGESTERONE","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C","http://data.lincscloud.org/pert_images/BRD-K64994968.png"
"216","MENADIONE","CC1=CC(=O)c2ccccc2C1=O","http://data.lincscloud.org/pert_images/BRD-K78126613.png"
"217","PARBENDAZOLE","CCCCc1ccc2[nH]c(NC(=O)OC)nc2c1","http://data.lincscloud.org/pert_images/BRD-K02407574.png"
"218","NICOTINAMIDE","NC(=O)c1cccnc1","http://data.lincscloud.org/pert_images/BRD-K28912512.png"
"219","CYCLOHEXIMIDE","C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2","http://data.lincscloud.org/pert_images/BRD-K36055864.png"
"220","DEXAMETHASONE","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-K38775274.png"
"221","TYRPHOSTINA9","CC(C)(C)c1cc(C=C(C#N)C#N)cc(c1O)C(C)(C)C","http://data.lincscloud.org/pert_images/BRD-K40255344.png"
"222","VALPROICACID","CCCC(CCC)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K41260949.png"
"223","SPIPERONE","Fc1ccc(cc1)C(=O)CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4","http://data.lincscloud.org/pert_images/BRD-K55468218.png"
"224","ETACRYNICACID","CCC(=C)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl","http://data.lincscloud.org/pert_images/BRD-K63630713.png"
"225","SA792541","OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O","http://data.lincscloud.org/pert_images/BRD-K68143200.png"
"226","PYRIMETHAMINE","CCc1nc(N)nc(N)c1c2ccc(Cl)cc2","http://data.lincscloud.org/pert_images/BRD-K88429204.png"
"227","ALLANTOIN","NC(=O)NC1NC(=O)NC1=O","http://data.lincscloud.org/pert_images/BRD-A96407378.png"
"228","BRDK00910650","COc1cc(\C=C\C(=O)c2ccccc2)cc(OC)c1OC","http://data.lincscloud.org/pert_images/BRD-K00910650.png"
"229","THMI94","CN(C)Cc1c(oc2ccccc12)C(=O)NCCOc3ccc(cc3)C(=O)NO","http://data.lincscloud.org/pert_images/BRD-K12867552.png"
"230","SULFATHIAZOLE","Nc1ccc(cc1)S(=O)(=O)Nc2nccs2","http://data.lincscloud.org/pert_images/BRD-K14705039.png"
"231","CADMIUMCHLORIDE","Cl[Cd]Cl","http://data.lincscloud.org/pert_images/BRD-K26756156.png"
"232","METHYLPREDNISOLONE","C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14","http://data.lincscloud.org/pert_images/BRD-K35240538.png"
"233","TERTBUTYLHYDROQUINONE","CC(C)(C)c1cc(O)ccc1O","http://data.lincscloud.org/pert_images/BRD-K36452089.png"
"234","RITONAVIR","CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)Cc4ccccc4","http://data.lincscloud.org/pert_images/BRD-K51485625.png"
"235","SULFAQUINOXALINE","Nc1ccc(cc1)S(=O)(=O)Nc2cnc3ccccc3n2","http://data.lincscloud.org/pert_images/BRD-K71133585.png"
"236","LORATADINE","CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1","http://data.lincscloud.org/pert_images/BRD-K82795137.png"
"237","DIPYRIDAMOLE","OCCN(CCO)c1nc(N2CCCCC2)c3nc(nc(N4CCCCC4)c3n1)N(CCO)CCO","http://data.lincscloud.org/pert_images/BRD-K86301799.png"
"238","AMSACRINE","COc1cc(NS(=O)(=O)C)ccc1Cc2c3ccccc3nc4ccccc24","http://data.lincscloud.org/pert_images/BRD-K98490050.png"
